id,precio
99414546,950000
105695042,399000
101649801,185000
106085382,138000
107462066,145000
104743329,525000
107823126,365000
106571650,169000
107032746,239000
107135690,179000
106994292,1950000
106894158,1950000
104237394,1850000
107740256,148000
107667901,195000
107195508,340000
106525197,399000
104618889,3950000
104237407,2000000
103322344,125000
107418846,1950000
106641411,425000
104965231,298000
105976982,650000
104545302,315000
105686427,210000
107818817,525000
107270193,365000
105521426,1000000
107218287,240000
103970815,525000
107723779,650000
103723972,599000
105914704,325000
98639330,179000
107577778,158000
107787823,215000
107678858,279000
100512656,695000
102005254,108800
107935314,229000
106284091,155000
107447140,207900
95453945,598000
107357171,189000
106105742,154000
107302144,179000
100599137,990000
107602616,265000
107703825,236000
106095454,117500
107129724,189000
106749882,598000
107071127,207000
104704367,650000
105013902,116000
101372511,250000
106792099,210000
107389173,245000
106678280,181250
25140690,990000
100991782,2910000
106678268,237800
105980095,127500
102270660,695000
103851635,2450000
104237602,3500000
104394034,1500000
106680514,340000
107331547,159000
106784056,1290000
107840878,138000
106678254,279000
107593919,245000
107800623,260000
105031315,264000
107596128,760000
107953192,499000
107935080,260000
106477670,2910000
107695631,760000
106453507,1875000
107810467,195000
107087777,398000
86065026,750000
106605154,1200000
107954870,229000
105525318,3300000
106826959,435000
106962223,398000
106855931,399000
106313470,159000
107889512,499000
25140687,900000
105801909,599000
89217347,1800000
93698940,700000
106428250,525000
104358333,1280000
104357332,389000
97374427,800000
99092519,1100000
103443340,124400
106147141,183500
107882838,148000
105924292,650000
107768048,127000
107838108,122000
105232182,166000
106379788,223000
107248239,1500000
93870643,885000
105301438,598000
107784772,166000
102386146,790000
103261185,870000
106917133,249500
107887308,695000
106097146,180000
107593558,196000
82521187,1800000
103435797,126000
106680542,169000
104707702,340000
96993611,525000
94354534,850000
107179625,95000
106917133,249500
107545382,1250000
88462318,2100000
107593558,196000
106351627,228000
103413318,1600000
107655264,400000
105640882,180000
107820926,265000
104241846,140000
104579842,135000
107787866,199500
102541083,120000
106251621,155000
106710899,900000
107512399,240000
104942296,298000
106461756,134000
104214425,143000
107741512,138000
103969954,125000
106957900,1950000
107909792,295000
107170718,120000
105537754,1950000
107618823,187000
107024585,159000
101757258,80000
97272372,836000
107100794,169000
106543801,570000
106672392,384000
107654934,289000
97430016,384000
105215829,740000
107462509,158000
107233220,850000
107876290,121900
107827758,150000
107445935,149000
107899237,890000
105755143,295000
106428666,399000
107677603,135000
107622689,84000
107086850,183750
107370219,228000
104857148,246000
103240927,2450000
95349560,335000
27096968,2000000
105939290,340000
107242979,1800000
107704254,155000
103284139,570000
98046676,305000
107209209,190000
107557814,135000
107030407,150500
107197177,185000
84716958,695000
107322861,186000
106678281,372000
106678262,263600
106678055,286400
106678255,449800
96978683,170000
107813939,355000
107775085,75000
107031846,140000
107187722,220000
99854554,350000
107937077,180000
107354582,129500
107979982,650000
107502478,129900
107352254,335000
107352270,310000
107352318,325000
107352286,338000
107352271,330000
107352255,330000
107352317,315000
106530176,485000
101620157,2000000
104680681,310000
106971992,207900
105011526,136000
105852802,340000
101218645,650000
106456041,290000
106166495,130000
98141833,885000
106267648,93000
105540147,62000
105855583,180000
107638081,325000
107931358,750000
107842441,188500
84101157,1400000
107880797,339000
107871216,129500
105530830,1250000
105520707,2450000
105521870,1800000
101127726,114500
93080060,166000
107059774,120000
105714238,695000
106309624,195000
93912489,81600
105530754,850000
