url_id,url,titulo,precio,metros,habitaciones,calle,latitud,longitud,fecha_publicacion,descripcion,ocupado,habitable,anunciante,baños,año_construccion,terraza,balcon,garaje,ascensor,reforma,jardin,piscina,aire_acondicionado,publicacion_mes,publicacion_dia_semana,antiguedad_dias,zona_Cala Sant Francesc - Santa Cristina,zona_Centre,zona_Els Pavos,zona_Els Pins,zona_La Plantera,zona_Mont Ferrant - Sant Joan,zona_Semicentre,zona_Urbanitzacions,tipo_casa,tipo_estudio,tipo_otro,tipo_piso,precio_m2,ratio_habitaciones_baños,n_extras,zona
99414546,https://www.idealista.com/inmueble/99414546/,Casa o chalet independiente en venta en calle del Gironès,950000,332,3,carrer del gironès,41.67232461226674,2.787271592976172,2025-04-01," Villa situada en una de las colinas de la localidad de Blanes, a 5 minutos del centro y de la playa. La vivienda ofrece un agradable jardín con piscina, garaje cerrado para un coche y vistas al mar.  La villa se construyó en los años 50, pero en el año 2022 se renovó íntegramente, con acabados modernos y de alta calidad, a la vez que se conservan detalles vintage de la época, como los suelos hidráulicos, los clásicos radiadores de hierro fundido, así como las barandillas, los lavamanos antiguos y algunas griferías.  Accedemos a la vivienda por una puerta corredera que da acceso al patio, a la entrada de la casa y del garaje, con espacio para un coche y una moto, si fuera necesario. Al entrar en la casa nos encontramos un luminoso recibidor en tonos tierra y dos dormitorios con baños privado. Cada uno de los dormitorios tiene acceso a la terraza y salida directa al jardín. Cada uno de los dormitorios dispone de su propio asistente de control de temperatura.  En la siguiente planta, encontramos una luminosa zona de estar con chimenea, compuesta por un salón-comedor con la cocina semiabierta y una amplia terraza con vistas a todo Blanes, incluyendo su puerto y el mar. La cocina italiana de la marca César viene equipada con electrodomésticos Smeg. En la misma planta, encontramos un cuarto de baño de invitados y un lavadero.  En la planta superior encontramos un dormitorio con su baño privado, con acceso privado a la terraza y vistas panorámicas. Este dormitorio dispone de chimenea, cuarto de baño y vestidor.  Toda la casa conserva los suelos hidráulicos que le dan un aire vintage e incluye elegantes radiadores de hierro fundido y cuarto de baño de diseño con azulejos hidráulicos.  El jardín de la vivienda cuenta con varios árboles antiguos que dan un toque chic y sombra en verano. La piscina, de generoso tamaño y forma alargada, conecta con en un espacio tipo zona chill-out.  Todo cuidado y pensado al más mínimo detalle para disfrutar de una magnifica ubicación, ya que se encuentra a tan solo 5 minutos a pie del centro y de la playa, a la vez de estar en un oasis de vegetación abundante y con mucha tranquilidad.  Como un detalle importante vivienda dispone de licencia de uso turistico.  No dude en contactarnos si desea más información y concertar una visita a esta vivienda única en el centro de Blanes. ",0,1,Lucas Fox Costa Brava,4,1958.0,1,0,1,0,0,1,1,1,4,1,16,0,1,0,0,0,0,0,0,1,0,0,0,2861.4457831325303,0.75,5,Centre
105695042,https://www.idealista.com/inmueble/105695042/,Casa de pueblo en venta en calle de Sant Jaume,399000,200,4,carrer de sant jaume,41.67504655905693,2.791264535468244,2025-02-14," ¡Descubre esta joya en el corazón de Blanes! Te presentamos una encantadora casa de pueblo construida en 1936, perfectamente conservada y lista para entrar a vivir. Esta vivienda de tres plantas ofrece un espacio amplio y acogedor para toda la familia. En la primera planta, encontrarás un luminoso salón, un comedor espacioso, una cocina completamente equipada y un cuarto de baño con plato de ducha. Además, podrás disfrutar de un precioso patio que se convierte en el lugar ideal para relajarte al aire libre. La segunda planta alberga dos dormitorios dobles. El primero cuenta con un vestidor y aseo propio, mientras que el segundo dispone de un baño en suite, proporcionando privacidad y comodidad a sus ocupantes. La última planta es un verdadero tesoro. Aquí se encuentra otro dormitorio doble, un práctico lavadero y una salida a un terrado espectacular, perfecto para disfrutar de las noches de verano. Equipada con calefacción de gas natural y una chimenea acogedora, esta casa garantiza confort durante todo el año. La orientación sur-este asegura una excelente iluminación natural en todas las estancias. Opcional plaza de parking en el centro. Con 4 dormitorios, 3 baños y un trastero, esta propiedad es una oportunidad única en el mercado. No pierdas la ocasión de vivir en una casa con historia y todas las comodidades modernas en el centro de Blanes. ¡Contacta con nosotros para más información y ven a visitarla! En cumplimiento de la ley 3/2917 de 13 de febrero de 2018 del CODIGO CIVIL DE CATALUÑA, por el que se aprueba el Reglamento de Información al Consumidor en la compraventa y arrendamiento de viviendas en CATALUÑA, se informa al cliente que los gastos notariales, registrales e impuestos que le sean de aplicación ( ITP ó IVA + AJD ) y otros gastos inherentes a la compraventa no están incluidos en el precio. ",0,1,Blanes.com,3,1936.0,1,0,0,0,0,0,0,0,2,4,62,0,1,0,0,0,0,0,0,1,0,0,0,1995.0,1.3333333333333333,1,Centre
101649801,https://www.idealista.com/inmueble/101649801/,Piso en venta en Illes Balears,185000,122,3,carrer illes balears,41.67895764668778,2.7842895791066704,2025-02-20," Blanes. com os presenta planta baja totalmente exterior con ascensor situada en el semi-centro de Blanes con fácil acceso a la población y a un paso de todo con de plaza de parking en la misma finca. Año de construcción 2004. Superficie construida 122 m2,100 m2 útiles repartidos en amplio salón, 3 dormitorios dobles uno de ellos con cuarto de baño completo con bañera en suite un segundo baño con plato de ducha, cocina independiente con salida a patio trasero. El inmueble necesita alguna actualización. En cumplimiento de la ley 3/2917 del 13 de febrero de 2018 del CODIGO CIVIL DE CATALUNYA, por el que se aprueba el Reglamento de Información al Consumidor en la compraventa y arrendamiento de viviendas en CATALUÑA, se informa al cliente que los gastos notariales, registrales e impuestos que le sean de aplicación ( ITP ó IVA + AJD ) y otros gastos inherentes a la compraventa no están incluidos en el precio. ",0,1,Blanes.com,2,2004.0,1,0,1,1,0,0,0,0,2,3,56,0,0,0,0,0,0,1,0,0,0,0,1,1516.3934426229507,1.5,3,Semicentre
106085382,https://www.idealista.com/inmueble/106085382/,Piso en venta en Or,138000,40,1,carrer or,41.67481897693837,2.7927762372218945,2024-10-24," ¡Descubre tu refugio perfecto en el corazón de Blanes! Este encantador apartamento de 40 m² construidos y 35 m² útiles te ofrece todo lo que necesitas para vivir junto al mar. Ubicado en el barrio más encantador de la ciudad, a solo una calle del mar, este piso es ideal tanto para inversores como para aquellos que buscan una segunda residencia. El apartamento cuenta con un dormitorio doble con salida a un acogedor balcón, perfecto para disfrutar de las vistas y la brisa marina. El salón, con cocina abierta, es un espacio luminoso y acogedor donde podrás relajarte y disfrutar de tus momentos de ocio. El cuarto de baño, equipado con plato de ducha, completa las comodidades de este hogar. La calefacción eléctrica garantiza tu confort durante todo el año, y su orientación sur-este asegura una excelente iluminación natural. Además, el edificio solo tiene cuatro vecinos, lo que te ofrece una mayor tranquilidad y privacidad. No podemos olvidar el terrado comunitario, un espacio ideal para disfrutar de las noches de verano con amigos o familiares. Construido en 1982 y en buen estado de conservación, este apartamento se encuentra en la primera planta de un edificio sin ascensor. Con una clase energética E, su consumo de energía es de 166,00 kwh/m² al año y sus emisiones de CO2 son de 32,00 kgCO/m² al año. No pierdas la oportunidad de vivir en el centro de Blanes, a pocos pasos del mar y rodeado de todos los servicios que necesitas. ¡Ven a visitarlo y enamórate de tu nuevo hogar! En cumplimiento de la ley 3/2917 del 13 de febrero de 2018 del CODIGO CIVIL DE CATALUNYA, por el que se aprueba el Reglamento de Información al Consumidor en la compraventa y arrendamiento de viviendas en CATALUÑA, se informa al cliente que los gastos notariales, registrales e impuestos que le sean de aplicación ( ITP ó IVA + AJD ) y otros gastos inherentes a la compraventa no están incluidos en el precio. ",0,1,Blanes.com,1,1982.0,0,1,0,0,0,0,0,0,10,3,175,0,1,0,0,0,0,0,0,0,0,0,1,3450.0,1.0,1,Centre
104743329,https://www.idealista.com/inmueble/104743329/,Chalet adosado en venta en calle de Fornaca,525000,160,4,carrer de fornaca,41.67431475768337,2.791160149081581,2025-02-21," CASA EN PLENO CENTRO DE BLANES Y A UN PASO DE LA PLAYA – Se compone de local con altillo, Oficina con posibilidad de vivienda y ático dúplex con solárium. Toda la casa es una sola unidad registral. Planta baja con local comercial + altillo Planta primera, hoy en día distribuida con una habitación, salón, cocina y baño, En planta segunda, recibidor, tres habitaciones, baño, escalera interior que comunica con la tercera planta que se compone de, recibidor, aseo, cocina de 15m2 aprox y salón de unos 30m2 aprox con chimenea y escalera interior que comunica con la terraza solárium y que consta de zona de barbacoa, terraza de 60m2 aprox, espacio trastero. Sus calidades son: carpintería interior de madera, carpintería exterior de aluminio, suelo de gres, escalera de mármol. Aire acondicionado, calefacción de gas, fuego a tierra. Una finca ideal donde usted y su familia podrán vivir de maravilla en el centro de Blanes, al lado de la playa, y con todos los servicios. Ideal para familias que quieran convivir juntas. “QUE NO TE CONFUNDAN, IMMOBLANES SÓLO HAY UNA” DOS PUNTOS DE SERVICIO A TU DISPOSICION EN BLANES. NOS ENCONTRARAS EN CARRER ROIG I JALPI N. º 12 (AL LADO DE PLAZA ESPANYA) Y EN CALLE CRISTOFOR COLOM N. º 2 (ELS PINS) ” IMMOBLANES, NADA QUE VER CON TODO LO DEMÁS”. En cumplimiento de la ley 3/2917 del 13 de febrero de 2018 del CODIGO CIVIL DE CATALUNYA, por el que se aprueba el Reglamento de Información al Consumidor en la compraventa o alquiler de viviendas en CATALUÑA, se informa al cliente que los gastos notariales, registrales e impuestos que le sean de aplicación (ITP o IVA + AJD) y otros gastos inherentes a la compraventa no están incluidos en el precio. ",0,1,immoblanes,3,1973.0,1,0,0,0,0,0,0,1,2,4,55,0,1,0,0,0,0,0,0,1,0,0,0,3281.25,1.3333333333333333,2,Centre
107462066,https://www.idealista.com/inmueble/107462066/,Piso en venta en calle Eivissa,145000,61,1,carrer eivissa,41.6667513735627,2.781301659868566,2025-04-12," EXCLUSIVA IMMOBLANES Todo listo para tu nueva vida: un hogar totalmente amueblado y equipado, solo falta que digas ‘sí’. Excelente apartamento situado en Els Pins, en un complejo de alto standing. Disfruta de una magnífica zona comunitaria donde podrá disfrutar con sus amigos y seres queridos de pista de fútbol y baloncesto, cancha de tenis, gran piscina para adultos e infantil, zonas verdes y petanca. DESTACAMOS: Su completa zona comunitaria, la proximidad a la playa, suelos porcelánicos, ventanas de aluminio. DISFRUTARÁS DE: Salón comedor, cocina americana, un dormitorio doble y baño completo con ducha. Carpintería exterior de aluminio. BUENA OPORTUNIDAD DE INVERSIÓN EN LOS TIEMPOS ACTUALES.  En cumplimiento de la ley 3/2917 del 13 de febrero de 2018 del CÓDIGO CIVIL DE CATALUNYA, por el que se aprueba el Reglamento de Información al Consumidor en la compraventa o alquiler de viviendas en CATALUÑA, se informa al cliente que los gastos notariales, registrales e impuestos que le sean de aplicación (ITP o IVA + AJD) y otros gastos inherentes a la compraventa o alquiler no están incluidos en el precio. “QUE NO TE CONFUNDAN, IMMOBLANES SÓLO HAY UNA” NOS ENCONTRARÁ EN CARRER ROIG I JALPI Nº 12 (AL LADO DE PLAZA ESPANYA). ” IMMOBLANES, NADA QUE VER CON TODO LO DEMÁS”. ",0,1,immoblanes,1,1990.0,0,0,0,1,0,0,1,0,4,5,5,0,0,0,1,0,0,0,0,0,0,0,1,2377.0491803278687,1.0,2,Els Pins
107823126,https://www.idealista.com/inmueble/107823126/,Piso en venta en Els Pavos,365000,173,5,"carrer provença,4",41.67561905639978,2.781819036155578,2025-04-14," Descubre este exclusivo y luminoso dúplex en Blanes, reformado con exquisito gusto y listo para entrar a vivir. Con una superficie de unos 158 m² y una terraza privada de aproximadamente 22 m², esta propiedad combina amplitud, confort y una ubicación privilegiada a tan solo 500 metros de la playa. La planta principal cuenta con un salón-comedor con acceso a un amplio balcón, ideal para disfrutar del aire libre. La cocina es independiente, totalmente equipada y con acabados de alta calidad, con salida directa al amplio balcón. En esta planta contamos con 4 dormitorios, uno de ellos con baño en suite y todos exteriores y con vistas despejadas al castillo de Sant Joan. Además, también cuenta con otro baño completo. En la planta superior, un espacio polivalente se adapta a tus necesidades, ya sea como despacho, sala de juegos, dormitorio o zona de ocio. Desde aquí se accede a una espectacular terraza con barbacoa, el lugar perfecto para reuniones familiares y momentos inolvidables. Los detalles de esta vivienda marcan la diferencia: suelo de alta resistencia, carpintería interior de madera de haya y exterior de aluminio. Además, cuenta con ascensor, calefacción, alarma, videoportero, conexión de fibra óptica y armarios empotrados. Opción a compra de garaje cerrado por 25.000 €. Situado en una zona tranquila y bien conectada, este dúplex cuenta con todos los servicios esenciales a pocos minutos, como colegios, supermercados, centros médicos, farmacias, hospitales, parques infantiles y transporte público (tren y autobuses).  Blanes, la puerta de entrada a la Costa Brava, es un lugar ideal para quienes buscan calidad de vida junto al mar. Sus playas de aguas cristalinas, su encanto mediterráneo y su amplia oferta gastronómica y cultural hacen de esta localidad un destino privilegiado. Con un clima cálido todo el año y un ambiente acogedor, Blanes ofrece el equilibrio perfecto entre tranquilidad y comodidad, convirtiéndose en el lugar ideal para establecer tu hogar. No dejes escapar esta oportunidad. ¡Ven a visitarlo y descubre todo lo que este dúplex tiene para ofrecerte! [IW]. ",0,1,Sale and Rental Spain,2,2003.0,1,0,0,1,0,0,0,0,4,0,3,0,0,1,0,0,0,0,0,0,0,0,1,2109.826589595376,2.5,2,Els Pavos
106571650,https://www.idealista.com/inmueble/106571650/,Piso en venta en Semicentre,169000,75,2,"carrer anselm clavé,62",41.677296,2.7873864,2025-03-12," Descubre este precioso piso de unos 75 m2, totalmente reformado, diseñado para aprovechar cada rincón y brindarte confort y funcionalidad. Ubicado en una finca con ascensor, este hogar combina comodidad y estilo con excelentes acabados en cada detalle. Al entrar, te recibe un elegante recibidor con un práctico trastero oculto. La zona de día cuenta con un luminoso comedor-cocina que conecta directamente con un balcón ideal para disfrutar del aire fresco. El piso dispone de dos amplias habitaciones dobles, ambas con armarios empotrados. Una de ellas destaca con dos armarios adicionales, un altillo para almacenamiento extra y acceso directo un patio que se utiliza como lavadero. Además cuenta con un bonito baño completo, moderno y con ducha.  Cabe destacar que tiene opcion a adquirir un parking cerrado cerca. Situado en Blanes, este piso te ofrece la tranquilidad de una zona residencial con todos los servicios a tu alcance: supermercados, escuelas y transporte público. Además, estarás a pocos minutos de la playa y el paseo marítimo, donde podrás disfrutar de la belleza y el encanto de la Costa Brava. ¡Todo lo que necesitas en un hogar moderno, funcional y en una ubicación privilegiada! ¡No dejes escapar esta oportunidad única! ¿A qué esperas para visitarlo? [IW]. ",0,1,Sale and Rental Spain,1,1975.0,1,0,0,1,0,0,0,0,3,2,36,0,0,0,0,0,0,1,0,0,0,0,1,2253.3333333333335,2.0,2,Semicentre
107032746,https://www.idealista.com/inmueble/107032746/,Piso en venta en calle de Mont-Ferrant,239000,120,3,carrer de mont-ferrant,41.67844965529102,2.793850188246986,2025-03-15," En el municipio de Blanes, se encuentra este encantador piso en venta. Situado en la zona de Mont-Ferrant-Sant Joan, el inmueble cuenta con una superficie total de 120 m² y 3 habitaciones, una de ellas en suite. Con una orientación sur, el piso se encuentra en buen estado de conservación y dispone de balcón y terraza, ideales para disfrutar del soleado clima mediterráneo. Además, cuenta con ascensor, jardín comunitario y se aceptan mascotas. El entorno ofrece el privilegio de contar con el emblemático Castillo de Sant Joan y extensas zonas verdes para los amantes de la naturaleza. ¡No pierdas la oportunidad de vivir en este maravilloso lugar! Nuestro mayor valor es la confianza que depositan nuestros clientes en nosotros y nuestra mayor misión: su satisfacción. En cumplimiento de la ley 32917 del 13 de febrero de 2018 del CODIGO CIVIL DE CATALUNYA, por el que se aprueba el Reglamento de Información al Consumidor en la compraventa y arrendamiento de viviendas en CATALUÑA, se informa al cliente que los gastos notariales, registrales e impuestos que le sean de aplicación ( ITP ó IVA AJD ) y otros gastos inherentes a la compraventa no están incluidos en el precio. ",0,1,Blanes House,2,1983.0,1,0,0,1,0,0,0,0,3,5,33,0,0,0,0,0,1,0,0,0,0,0,1,1991.6666666666667,1.5,2,Mont Ferrant - Sant Joan
106084587,https://www.idealista.com/inmueble/106084587/,Piso en venta en calle Josep Carner,90000,80,3,carrer josep carner,41.66837048986316,2.7776464965773737,2025-04-09," *Este activo no cuenta con Cédula de Habitabilidad ¡Oportunidad de inversión en Blanes! ¡SOMOS PROPIETARIOS! Disfruta de todas las ventajas de comprar directamente a la propiedad. Clikalia presenta este piso ubicado en Blanes, Girona. La vivienda está ubicada en la planta 1 exterior sin ascensor. Dispone de una superficie total de 80 m², distribuidos en salón y comedor, cocina independiente, 3 dormitorios y 1 baños. Además, cuenta con terraza y armarios empotrados. Situado en la Calle Josep Carner, cuenta con una ubicación que te permitirá cerca de supermercados, tiendas, restaurantes y paradas de autobús. Agenda tu visita presencial, te acompañamos en todo el proceso. Llámanos de lunes a viernes de 9.00h a 20.00h. ",0,1,Clikalia España,1,1978.0,1,0,0,0,1,0,0,0,4,2,8,0,0,0,0,1,0,0,0,0,0,0,1,1125.0,3.0,1,La Plantera
